controller	abilityName	description	toTarget	playCondition	instructions	baseCooldown	mainNumber	secondNumber	powerStat	defenseStat	statusNumber	miscNumber	abilityTypes
Bees	Honey	Another Elevated Enemy gains $MainNum$ Health.	OtherEnemy	TargetIsElevated/TargetInjured	TargetHeal	0	2						Healing
Bees	Protect_the_Queen	Another Elevated Enemy becomes Protected for $StatusNum$ Rounds.	OtherEnemy	TargetIsElevated	TargetBecomeProtected	2					2		Misc
Bees	Support	Another Elevated Enemy gets $StatusNum$ Extra Ability.	OtherEnemy	TargetIsElevated	TargetGetExtraAbility	1						1	Misc
Cow	Charge	Deal $MainNum$ damage to the last Player who attacked this (if any).	OnePlayer	LastAttackerExists	TargetAttack	0	4						Attack
Cow	Milk	Another Enemy gains $MainNum$ Health and becomes Lively.	OtherEnemy	TargetInjured	TargetHeal/TargetBecomeLively	1	4						Healing/MoodEnemy
Cow	Graze	This gains $MainNum$ Max Health and $MainNum$ Health.	Self	None	TargetMaxHealth/TargetHeal	1	2					2	Healing
Cow	Bellow	This gains $DefNum$ Defense and becomes Targeted for $StatusNum$ Rounds.	Self	TargetDefenseOrLess/NoTargetedEnemy	TargetGainDefense/TargetBecomeTargeted	1				1	2		StatEnemy
Crow	Peck	Deal $MainNum$ damage to any Player.	OnePlayer	None	TargetAttack	0	2						Attack
Demon	Dark_Energy	Deal $MainNum$ damage to all Players.	AllPlayers	None	TargetAttack	4	6						Attack
Demon	Betrayal	Deal $MainNum$ damage to another Enemy. This gains $MiscNum$ Max Health, $SecNum$ Health, and $PowNum$ Power.	OtherEnemy-Self	None-None	TargetAttack-TargetMaxHealth/TargetHealSec/TargetGainPower	1	2	3	1			3	Healing/StatEnemy
Demon	Ritual	Another Enemy becomes Stunned for $StatusNum$ turn. This reduces their active Ability Cooldown by $MiscNum$.	OtherEnemy-Self	None-TargetActiveCooldown	TargetBecomeStunned-TargetDecreaseAllCooldown	1					1	1	Misc
Demon	Demand_Energy	All other Players and Enemies lose $PowNum$ Power.	AllPlayers-AllOtherEnemies	None-None	TargetLosePower-TargetLosePower	1			1				StatPlayer
Dragon	Firebreath	If this is Elevated, deals $MainNum$ damage to all Players.	Self-AllPlayers	TargetIsElevated-None	None-TargetAttack	1	3						Attack
Dragon	Roost	If this is Elevated, it becomes Grounded and gains $MainNum$ Health.	Self	TargetIsElevated/TargetInjured	TargetBecomeGrounded/TargetHeal	0	4						Healing/PositionEnemy
Dragon	Take_Flight	All Grounded Enemies becomes Elevated.	AllEnemies	TargetIsGrounded	TargetBecomeElevated	0							PositionEnemy
Dragon	Roar	This gains $DefNum$ Defense and switches Positions.	Self	None	TargetGainDefense/TargetSwitchPosition	1				1			StatEnemy/PositionEnemy
Drone	Sound_Waves	Deal $MainNum$ damage to all Players.	AllPlayers	None	TargetAttack	1	2						Attack
Drone	Alarm	This gains $PowNum$ Power and becomes Elevated and Locked for $StatusNum$ Rounds.	Self	None	TargetGainPower/TargetBecomeElevated/TargetBecomeLocked	0			1		2		PositionEnemy/StatEnemy
Ghost	Jumpscare	Deal $MainNum$ damage to all Players.	AllPlayers	None	TargetAttack	1	2						Attack
Ghost	Lament	This and another Enemy both become Tired.	Self-OtherEnemy	None-TargetNotTired	TargetBecomeTired-TargetBecomeTired	0							MoodEnemy
Ghost	Possession	A Grounded Player becomes Elevated and loses $PowNum$ Power.	OnePlayer	TargetIsGrounded	TargetBecomeElevated/TargetLosePower	1			1				PositionPlayer/StatPlayer
Ghost	Release	An Elevated Player becomes Grounded and Stunned for $StatusNum$ turn.	OnePlayer	TargetIsElevated	TargetBecomeGrounded/TargetBecomeStunned	2					1		PositionPlayer
Herald	Flag_Whack	Deal $MainNum$ damage to an Elevated Player.	OnePlayer	TargetIsElevated	TargetAttack	0	2						Attack
Herald	Announce	Summon a random $MiscNum$ Star Enemy.	Self	CanSummon	SummonStar	2						3	Misc
Kitty	Scratch	Deal $MainNum$ damage to a Player at the same Position.	OnePlayer	TargetSamePosition	TargetAttack	0	2						Attack
Kitty	Stuck_in_a_Tree	If this is Grounded, it becomes Elevated and gains $DefNum$ Defense.	Self	TargetIsGrounded	TargetBecomeElevated/TargetGainDefense	0				1			StatEnemy/PositionEnemy
Kitty	Land_Feet_First	If this is Elevated, it becomes Grounded and gains $MainNum$ Health.	Self	TargetIsElevated	TargetBecomeGrounded/TargetHeal	0	2						Healing/PositionEnemy
Kitty	Lure	A Player switches Positions and loses $PowNum$ Power.	OnePlayer	None	TargetSwitchPosition/TargetLosePower	1			1				PositionPlayer/StatPlayer
Leprechaun	Prank	If this took damage, deal $MainNum$ damage to all Players.	Self-AllPlayers	TargetNotMaxHealth-None	None-TargetAttack	0	3						Attack
Leprechaun	Offer_Gold	If this is at full Health, all Players gain $PowNum$ Power and $DefNum$ Defense.	Self-AllPlayers	TargetAtMaxHealth-None	None-TargetGainPower/TargetGainDefense	1			1	1			Misc
Ninja	Sneak_Attack	Deal $MainNum$ damage to the Player with the least amount of Health.	OnePlayer	None	TargetAttack	0	3						Attack
Ninja	Shurikens	Deal $MainNum$ damage to all Players with $MiscNum$ Health or more.	AllPlayers	TargetHealthOrMore	TargetAttack	1	3					5	Attack
Ninja	Into_Shadows	If this is Elevated, it becomes Grounded and Protected for $StatusNum$ Rounds.	Self	TargetIsElevated	TargetBecomeGrounded/TargetBecomeProtected	1					2		PositionEnemy
Ninja	Wall_Climb	If this is Grounded, it becomes Elevated and gains $PowNum$ Power.	Self	TargetIsGrounded	TargetBecomeElevated/TargetGainPower	1			1				PositionEnemy/StatEnemy
Page	Swing	Deal $MainNum$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded	TargetAttack	0	2						Attack
Partier	Fight	Deal $MainNum$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded	TargetAttack	0	2						Attack
Partier	Share_Drinks	All Enemies gain $MainNum$ Health.	AllEnemies	None	TargetHeal	1	2						Healing
Partier	Share_Snacks	All Enemies gain $MiscNum$ Max Health.	AllEnemies	None	TargetMaxHealth	0						2	Misc
Partier	Drinking_Game	All Enemies get a random Mood.	AllEnemies	None	TargetRandomMood	1							MoodEnemy
Pixie	Will_o_Wisp	Deal $MainNum$ damage to an Elevated Player.	OnePlayer	TargetIsElevated/TargetEffective	TargetAttack	0	2						Attack
Pixie	Agitate	All Player become Lively.	AllPlayers	None	TargetBecomeLively	1							MoodPlayer
Pixie	Drowsiness	All Players become Tired.	AllPlayers	None	TargetBecomeTired	1							MoodPlayer
Pixie	Bother	All Players become Focused.	AllPlayers	None	TargetBecomeFocused	1							MoodPlayer
Puppeteer	Collision	Deal $MainNum$ damage to all Elevated Players.	AllPlayers	TargetIsElevated	TargetAttack	0	2						Attack
Puppeteer	Drop	Deal $MainNum$ damage to each Elevated Player. They each become Grounded.	AllPlayers	TargetIsElevated	TargetAttack/TargetBecomeGrounded	1	4						Attack/PositionPlayer
Puppeteer	Dangle	All Grounded Players become Elevated and lose $PowNum$ Power.	AllPlayers	TargetIsGrounded	TargetBecomeElevated/TargetLosePower	1			1				PositionPlayer/StatPlayer
Puppeteer	Control	Each other Elevated Enemy gets $StatusNum$ Extra Ability.	AllOtherEnemies	TargetIsElevated	TargetGetExtraAbility	2					1		Misc
Puppy	Bite	Deal $MainNum$ damage to a Grounded Player with -1 Defense or less.	OnePlayer	TargetIsGrounded/TargetDefenseOrLess	TargetAttack	0	3					-1	Attack
Puppy	Leap	Deal $MainNum$ damage to an Elevated Player. They become Grounded.	OnePlayer	TargetIsElevated	TargetAttack/TargetBecomeGrounded	0	1						Attack/PositionPlayer
Puppy	Bark	All Players lose $DefNum$ Defense.	AllPlayers	None	TargetLoseDefense	1				1			StatPlayer
Puppy	Cuddle	A Player with $MiscNum$ Defense or more loses $DefNum$ Defense.	OnePlayer	TargetDefenseOrMore	TargetLoseDefense					2		1	StatPlayer
Rats	Swarm	Deal $MainNum$ damage to a Grounded Player. This gains $DefNum$ Defense.	OnePlayer-Self	TargetIsGrounded-None	TargetAttack-TargetGainDefense	0	1			1			Attack/StatEnemy
Rats	Strength_in_Numbers	Summon a Rats.	Self	CanSummon	TargetCopy	1							Misc
Royalty	Order	Deal $MainNum$ damage to a Player. They become Targeted for $StatusNum$ Rounds.	OnePlayer	None	TargetAttack/TargetBecomeTargeted	0	2				2		Attack
Royalty	Promote	Another Enemy gains $MiscNum$ Max Health and $MainNum$ Health.	OtherEnemy	None	TargetMaxHealth/TargetHeal	2	5					5	Healing
Royalty	Call	Summon a random $MiscNum$ Star Enemy.	Self	CanSummon	SummonStar	1						1	Misc
Royalty	Procession	All Enemies gain $PowNum$ Power.	AllEnemies	None	TargetGainPower	1			1				StatEnemy
Siren	Drown	Deal $MainNum$ damage to a Stunned Player.	OnePlayer	TargetIsStunned	TargetAttack	0	3						Attack
Siren	Shipwreck	A Focused Player loses $DefNum$ Defense and becomes Stunned for $StatusNum$ turns.	OnePlayer	TargetIsFocused/TargetNotStunned	TargetLoseDefense/TargetBecomeStunned	1				1	2		StatPlayer
Siren	Manipulate	A Player becomes Focused and Locked for $StatusNum$ Rounds.	OnePlayer	TargetNotFocused	TargetBecomeFocused/TargetBecomeLocked	0					2		MoodPlayer
Siren	Sing	A $MiscNum$ Star Enemy gains $DefenseNum$ Defense and becomes Targeted for $StatusNum$ Rounds.	OtherEnemy	NoTargetedEnemy/TargetIsStar	TargetBecomeTargeted/TargetGainDefense	1				1	2	2	StatEnemy
Spider	Stab_Prey	If this is Elevated, deal $MainNum$ damage to an Elevated Player.	Self-OnePlayer	TargetIsElevated-TargetIsElevated	None-TargetAttack	0	4						Attack
Spider	Trapped	If this is Elevated, a Grounded Player becomes Elevated and Locked for $StatusNum$ Rounds.	Self-OnePlayer	TargetIsElevated-TargetIsGrounded	None-TargetBecomeElevated/TargetBecomeLocked	0					2		PositionPlayer
Spider	Silk_Wrap	An Elevated Player becomes Tired and loses $PowNum$ Power.	OnePlayer	TargetIsElevated/TargetPowerOrMore	TargetBecomeTired/TargetLosePower	1			1				MoodPlayer/StatPlayer
Spider	Spin_Web	A Grounded Enemy becomes Elevated and gains $DefNum$ Defense.	OneEnemy	TargetIsGrounded/TargetDefenseOrLess	TargetBecomeElevated/TargetGainDefense	0				1			PositionEnemy/StatEnemy
Taskmaster	Punishment	Does $MainNum$ damage to Player with a different Mood than this.	OnePlayer	TargetDifferentMood	TargetAttack	1	7						Attack
Taskmaster	Demand_Lively	This becomes Lively.	Self	TargetNotLively	TargetBecomeLively	0							MoodEnemy
Taskmaster	Demand_Focused	This becomes Focused.	Self	TargetNotFocused	TargetBecomeFocused	0							MoodEnemy
Taskmaster	Demand_Tired	This becomes Tired.	Self	TargetNotTired	TargetBecomeTired	0							MoodEnemy
Trickster	Mischief	Deal $MainNum$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded	TargetAttack	0	3						Attack
Trickster	Delude	A Player becomes Lively, Grounded, and Locked for $StatusNum$ Round.	OnePlayer	None	TargetBecomeLively/TargetBecomeGrounded/TargetBecomeLocked	0						2	MoodPlayer/PositionPlayer
Trickster	Delay	A Grounded Player gets $MiscNum$ Cooldown added to one of their available Abilities.	OnePlayer	TargetIsGrounded/TargetZeroCooldown	TargetForceOneCooldown	1						2	Misc
Trickster	Sidetrack	A Grounded Player gets $MiscNum$ Cooldown added to all of their inactive Abilities.	OnePlayer	TargetIsGrounded/TargetActiveCooldown	TargetIncreaseAllCooldown	1						1	Misc
Wall	Toughen	This gains $MainNum$ Health and gains $DefNum$ Defense.	Self	TargetInjured/TargetDefenseOrLess	TargetHeal/TargetGainDefense	1	2			1			Healing/StatEnemy
Wall	In_the_Way	This becomes Grounded and Targeted for $StatusNum$ Rounds.	Self	NoTargetedEnemy	TargetBecomeGrounded/TargetBecomeTargeted	0					2		PositionEnemy
Wolf	Pounce	Deal $MainNum$ damage to a Grounded Player.	OnePlayer	TargetIsGrounded/TargetEffective	TargetAttack	0	3						Attack
Wolf	Hunt	An Enemy becomes Lively, and a Player becomes Focused.	OneEnemy-OnePlayer	TargetNotLively-TargetNotFocused	TargetBecomeLively-TargetBecomeFocused	1							MoodPlayer/MoodEnemy
Wolf	Nurture	All $MiscNum$ Star Enemies gain $PowNum$ Power and $DefNum$ Defense.	AllEnemies	TargetIsStar	TargetGainPower/TargetGainDefense	1			1	1		1	StatEnemy
Wolf	Guard	A $MiscNum$ Star Enemy becomes Protected for $StatusNum$ Rounds.	OneEnemy	TargetIsStar	TargetBecomeProtected	2					2	1	Misc
